current_episode,step_count,neutering_rate,vaccination_rate,weekly_kill_rate,money,reward,dog_population,rabid_dog_population,vaccinated_dog_population
0,45,0.49999999999999994,0.2,0.1,409.0,9.0,0,0,0
0,46,0.5499999999999999,0.2,0.1,307.0,9.0,0,0,0
0,47,0.6,0.2,0.1,197.75,9.0,0,0,0
0,48,0.65,0.2,0.1,81.25,-1.0,0,0,0
0,49,0.15000000000000002,0.2,0.05,1000,9.5,24,12,12
0,50,0.2,0.2,0.05,950.0,9.5,16,8,9
1,51,0.1,0.2,0.05,1000,9.5,50,29,21
1,52,0.15000000000000002,0.2,0.05,957.25,9.5,28,17,15
1,53,0.2,0.2,0.05,907.25,9.5,15,10,6
1,54,0.2,0.2,0.05,850.0,9.5,8,5,4
1,55,0.15000000000000002,0.2,0.05,1000,9.5,30,15,16
1,56,0.2,0.2,0.05,950.0,9.5,14,6,8
1,57,0.25,0.2,0.05,892.75,9.5,9,4,5
1,58,0.3,0.2,0.05,828.25,9.5,5,2,3
1,59,0.3,0.2,0.0,756.5,10.0,3,2,1
1,60,0.35,0.2,0.0,686.0,10.0,2,2,0
1,61,0.39999999999999997,0.2,0.0,608.25,10.0,1,1,0
1,62,0.44999999999999996,0.2,0.0,523.25,10.0,1,1,1
1,63,0.44999999999999996,0.2,0.0,431.0,10.0,0,0,0
1,64,0.44999999999999996,0.25,0.0,338.75,10.0,0,0,0
1,65,0.44999999999999996,0.3,0.0,244.75,10.0,0,0,0
1,66,0.44999999999999996,0.35,0.0,149.0,10.0,0,0,0
1,67,0.44999999999999996,0.39999999999999997,0.0,51.5,0.0,0,0,0
1,68,0.15000000000000002,0.2,0.05,1000,9.5,36,22,18
1,69,0.2,0.2,0.05,950.0,9.5,27,17,14
1,70,0.25,0.2,0.05,892.75,9.5,18,11,11
1,71,0.3,0.2,0.05,828.25,9.5,13,8,9
1,72,0.3,0.2,0.0,756.5,10.0,8,4,6
1,73,0.35,0.2,0.0,686.0,10.0,5,2,4
1,74,0.35,0.2,0.0,608.25,10.0,1,1,1
1,75,0.35,0.2,0.0,500.0875,10.0,1,1,1
1,76,0.35,0.2,0.0,366.920625,10.0,1,1,1
1,77,0.35,0.2,0.0,215.40771874999996,10.0,0,0,0
1,78,0.35,0.2,0.0,53.12442656249996,0.0,0,0,0
1,79,0.1,0.2,0.05,1000,9.5,26,13,16
1,80,0.15000000000000002,0.2,0.05,907.25,9.5,16,9,13
1,81,0.2,0.2,0.05,807.25,9.5,9,5,8
1,82,0.25,0.2,0.05,700.0,9.5,6,3,5
1,83,0.3,0.2,0.05,585.5,9.5,3,2,2
1,84,0.35,0.2,0.05,463.75,9.5,3,2,2
1,85,0.39999999999999997,0.2,0.05,334.75,9.5,3,2,3
1,86,0.39999999999999997,0.25,0.05,198.5,9.5,2,2,2
1,87,0.39999999999999997,0.25,0.05,60.5,-0.5,0,0,0
1,88,0.15000000000000002,0.2,0.05,1000,9.5,26,6,12
1,89,0.2,0.2,0.05,950.0,9.5,14,4,10
1,90,0.25,0.2,0.05,892.75,9.5,12,2,10
1,91,0.3,0.2,0.05,828.25,9.5,6,1,6
1,92,0.35,0.2,0.05,756.5,9.5,5,0,5
1,93,0.39999999999999997,0.2,0.05,677.5,9.5,4,0,4
1,94,0.44999999999999996,0.2,0.05,591.25,9.5,3,0,3
1,95,0.49999999999999994,0.2,0.05,497.75,9.5,0,0,0
1,96,0.49999999999999994,0.15000000000000002,0.05,397.0,9.5,0,0,0
1,97,0.49999999999999994,0.10000000000000002,0.05,298.0,9.5,0,0,0
1,98,0.49999999999999994,0.05000000000000002,0.05,200.75,9.5,0,0,0
1,99,0.49999999999999994,1.3877787807814457e-17,0.05,105.25000000000001,9.5,0,0,0
1,100,0.49999999999999994,0.0,0.05,11.500000000000028,-0.5,0,0,0
2,101,0.1,0.2,0.05,1000,9.5,50,29,25
2,102,0.15000000000000002,0.2,0.05,957.25,9.5,31,19,18
2,103,0.2,0.2,0.05,907.25,9.5,17,10,11
2,104,0.25,0.2,0.05,850.0,9.5,12,6,9
2,105,0.3,0.2,0.05,785.5,9.5,7,5,6
2,106,0.3,0.2,0.05,713.75,9.5,5,4,5
2,107,0.3,0.2,0.1,606.3125,9.0,4,4,4
2,108,0.35,0.2,0.1,497.625,9.0,3,3,3
2,109,0.39999999999999997,0.2,0.1,381.6875,9.0,1,1,1
2,110,0.39999999999999997,0.2,0.15000000000000002,258.5,8.5,1,1,1
2,111,0.39999999999999997,0.2,0.15000000000000002,134.0625,8.5,0,0,0
2,112,0.39999999999999997,0.2,0.15000000000000002,9.625,-1.5000000000000002,0,0,0
2,113,0.15000000000000002,0.2,0.05,1000,9.5,29,21,14
